,SAMPLE_ID,BORO,BFE_DAY,ROUTE,SPA_DIR,LVTIME,ARRTIME,MILEAGE,ORIGIN,DESTINATION,TRIP_TYPE,LAT_O,LONG_O,LAT_D,LONG_D,BEF_SRT_TIME,BEF_SRT_DEST_TIME,BEF_SPA_DIR,BEF_LAT_O,BEF_LONG_D,RET_SRT_TIME,RET_SRT_DEST_TIME,RET_SPA_DIR,DURATION,SWITCH
1092,50547,BX,WKD,BX35,EB,959,1034,3.6460000000000004,W 179 ST / BROADWAY,W FARMS RD / WESTCHESTER AV,Local,40.848953,-73.936874,40.825379999999996,-73.89126,903.0,939.0,WB,40.82497,-73.93678,1055.0,1131.0,WB,36.0,0
1093,50548,M,WKD,M21,WB,908,936,2.4659999999999997,GRAND ST / FDR DRIVE,WASHINGTON ST / W HOUSTON ST,Local,40.713359999999994,-73.97779,40.72725,-74.00971,816.0,838.0,EB,40.725906,-73.977745,1010.0,1032.0,EB,22.0,0
1094,50549,B,WKD,B68,NB,1128,1231,7.581,STILLWELL TERMINAL BUS / STILLWELL TERMINAL BUS,PROSPECT PK SW / BARTEL PRITCHARD SQ,Local,40.577015,-73.981316,40.66085,-73.97939000000001,1009.0,1109.0,SB,40.6607,-73.981026,1250.0,1357.0,SB,67.0,0
1095,50550,Q,WKD,Q67,EB,1340,1425,7.016,28 ST / QUEENS PLZ S,METROPOLITAN AV / FRESH POND RD,Local,40.749577,-73.93915600000001,40.712788,-73.90121500000001,1205.0,1248.0,WB,40.712616,-73.9392,1455.0,1538.0,WB,43.0,0
1096,50551,Q,WKD,Q29,NB,1725,1752,3.6830000000000003,81 ST / MYRTLE AV,82 ST / ROOSEVELT AV,Local,40.703407,-73.86726,40.747498,-73.884,1625.0,1704.0,SB,40.74739,-73.86723,1815.0,1849.0,SB,34.0,0
1097,50552,Q,WKD,Q60,WB,2120,2233,10.605,109 AV / 157 ST,E 60 ST / 2 AV,Local,40.693176,-73.79456,40.761215,-73.963646,1949.0,2104.0,EB,40.76125,-73.794556,2300.0,2.0,EB,62.0,0
1098,50536,BX,WKD,BX21,SB,928,1030,6.99,WESTCHESTER AV / LANE  AV,E 136 ST / LINCOLN AV,Local,40.839943,-73.84325,40.80965,-73.92836,809.0,911.0,NB,40.8109,-73.84315,1051.0,1149.0,NB,58.0,0
1099,50840,S,WKD,S56,SB,1805,1840,8.677999999999999,MARSH AV / RING RD,EYLENDT ST / LUTEN AV,Local,40.58372,-74.16141999999999,40.526806,-74.19104,1647.0,1723.0,NB,40.527,-74.161415,,,,0.0,0
1100,50841,BX,WKD,BX15,NB,2302,2353,6.6579999999999995,ST CLAIRE PL / W 125 ST,3 AV / E FORDHAM RD,Local,40.817062,-73.95978000000001,40.860991999999996,-73.89027,2143.0,2241.0,SB,40.860603000000005,-73.96016999999999,,,,0.0,0
1101,50842,M,WKD,M3,NB,2110,2238,10.49,4 AV / E 10 ST,FT GEORGE AV / 66 FT GEORGE AV,Local,40.731342,-73.99029,40.858093,-73.92554,1846.0,2029.0,SB,40.85833,-73.99131,,,,0.0,0
